"Team","Conf.x","HCA","HCA.Rk","PF","PF.Rk","Pts","Pts.Rk","NST","NST.Rk","Blk","Blk.Rk","Elev","Elev.Rk","Rk","Conf.y","Arena","Alternate","Year","lon","lat"
"Idaho","BSky",2.8,237,-1.3,276,4.7,257,-1,143,0.8,266,2600,24,171,"BSky","Cowan Spectrum","",2021,-117.0172222,46.7263889
"Incarnate Word","Slnd",2.8,238,-0.9,313,6.4,164,-0.9,157,1.8,54,700,113,338,"Slnd","McDermott Convocation Center","",2021,-98.4694139,29.4681469
"Alabama St.","SWAC",2.8,239,-2.3,191,3.7,300,-0.8,189,1.5,103,300,210,155,"SWAC","Dunn-Oliver Acadome","",2021,-86.2931585,32.361776
"Troy","SB",2.8,240,-1.8,224,4.5,269,-0.5,230,1.8,54,500,166,209,"SB","Trojan Arena","",2021,-85.9523887,31.8022455
"Eastern Illinois","OVC",2.8,241,-2.2,194,4,291,-0.6,220,1.2,182,700,113,214,"OVC","Lantz Arena","",2021,-88.1795115,39.4802475
"UT Rio Grande Valley","WAC",2.8,242,-1.6,244,5.7,205,-0.5,244,1.6,84,100,259,266,"WAC","UTRGV Fieldhouse","",2021,-98.1698007,26.3067326
"East Tennessee St.","SC",2.8,243,-1.7,237,3.1,314,-0.6,227,1.9,44,1700,34,181,"SC","Freedom Hall Civic Center","",2021,-82.3748699,36.3243351
"Morgan St.","MEAC",2.8,244,-1.9,216,6.2,177,0.1,329,1.1,191,200,232,247,"MEAC","Hill Field House","",2021,-76.5852961,39.342424
"Morehead St.","OVC",2.8,245,-1.2,294,5.7,203,-0.1,298,2,28,800,91,181,"OVC","Johnson Arena","",2021,-83.4256489,38.19008
"Manhattan","MAAC",2.8,246,-1.4,267,7.4,109,-1.2,111,0.2,346,100,259,326,"MAAC","Draddy Gymnasium","",2021,-73.9002497,40.89078
"Western Illinois","Sum",2.8,247,-1.7,233,6.9,133,-0.3,271,0.3,337,600,137,221,"Sum","Western Hall","",2021,-90.6850172,40.4714189
"Northern Kentucky","Horz",2.8,248,-1.7,238,5.3,228,-0.4,260,1.2,183,800,91,103,"Horz","BB&T Arena","",2021,-94.5746182,38.9728011
"Belmont","OVC",2.8,249,-1.9,217,5.9,195,-0.1,302,0.8,276,600,137,231,"OVC","Curb Event Center","",2021,-86.7946203,36.132293
"San Jose St.","MWC",2.8,250,-0.6,328,10.3,18,-0.1,308,0.7,284,100,259,231,"MWC","Provident Credit Union Event Center","",2021,-121.8800984,37.3352087
"Sam Houston St.","Slnd",2.8,251,-1.5,255,4.7,257,-0.7,197,1.7,61,400,185,191,"Slnd","Johnson Coliseum","",2021,-95.5462167,30.712925
"North Florida","ASun",2.7,252,-0.9,308,8.1,73,-0.6,220,1,235,0,308,201,"ASun","UNF Arena","",2021,-81.5079346,30.2734356
"Saint Mary's","WCC",2.7,253,-1.3,283,4.3,283,-1.3,89,1.6,75,600,137,283,"WCC","University Credit Union Pavilion","",2021,-122.1064498,37.8412834
"Northern Colorado","BSky",2.7,254,-1.1,302,1.6,344,-0.1,298,1.6,84,4800,10,315,"BSky","Bank of Colorado Arena","",2021,-104.7030436,40.4022171
"Cleveland St.","Horz",2.7,255,-1.6,242,5,241,-0.5,237,1.1,191,700,113,125,"Horz","Wolstein Center","",2021,-81.6763705,41.4996733
"Tulane","Amer",2.7,256,-2.7,162,1.6,346,-1.5,60,1.1,202,0,308,278,"Amer","Fogelman Arena","",2021,-90.1208204,29.939013
"DePaul","BE",2.7,257,-2.1,204,3.3,310,-1.1,119,1,231,600,137,83,"BE","Wintrust Arena","",2021,-87.6216812,41.8541526
"South Dakota","Sum",2.7,258,-0.9,311,7,126,-0.1,308,1,221,1200,43,195,"Sum","Sanford Coyote Sports Center","",2021,-96.9278691,42.7900993
"Austin Peay","OVC",2.7,259,-1.3,276,6,191,-1.1,123,0.6,306,500,166,161,"OVC","Winfield Dunn Center","",2021,-87.3566842,36.5363156
"St. Francis PA","NEC",2.7,260,-1.6,253,2.7,320,-0.6,225,1.7,70,1900,32,283,"NEC","DeGol Arena","",2021,-78.6373747,40.5062359
"Alcorn St.","SWAC",2.7,261,-1.4,264,8.3,66,1.1,352,1,235,300,210,171,"SWAC","Whitney Complex","",2021,-81.0503899,32.066784
"Loyola MD","Pat",2.7,262,-1.8,225,5.4,222,0.1,322,1.3,166,300,210,333,"Pat","Reitz Arena","",2021,-76.6185933,39.3467998
"Alabama A&M","SWAC",2.7,263,-1.3,286,5.8,196,-0.3,262,1.2,179,700,113,195,"SWAC","Elmore Gymnasium","",2021,-86.5750892,34.7849429
"Hawaii","BW",2.7,264,-2.2,197,5.5,217,0,314,0.6,306,0,308,84,"BW","Stan Sheriff Center","",2021,-157.8189199,21.2942686
"Towson","CAA",2.7,265,-2.6,168,2.2,329,-0.5,244,1.1,201,400,185,219,"CAA","SECU Arena","",2021,-76.6171613,39.3873801
"San Francisco","WCC",2.7,266,-2.5,179,2.5,324,-0.9,157,0.9,239,300,210,258,"WCC","War Memorial at the Sobrato Center","",2021,-122.4495105,37.7768745
"New Orleans","Slnd",2.7,267,-1.4,267,5.5,215,-0.2,281,1.6,84,0,308,118,"Slnd","Lakefront Arena","",2021,-90.0504922,30.0302491
"Delaware","CAA",2.7,268,-1.2,288,5.6,213,-0.3,267,1.6,92,100,259,231,"CAA","Bob Carpenter Center","",2021,-75.7495728,39.6605074
"Southern","SWAC",2.7,269,-1.2,290,5.4,222,-0.6,220,1.5,103,100,259,153,"SWAC","Clark Activity Center","",2021,-91.1855556,30.5219444
"Florida Atlantic","CUSA",2.6,270,-1.4,273,5,239,-0.8,170,1.3,166,0,308,231,"CUSA","FAU Gymnasium","",2021,-80.1028854,26.3742347
"San Diego","WCC",2.6,271,-1.9,222,2.7,321,-0.6,213,1.9,42,200,232,222,"WCC","Jenny Craig Pavilion","",2021,-117.1837806,32.7744376
"Northeastern","CAA",2.6,272,-1.2,290,4,291,-1.6,51,1.5,113,0,308,225,"CAA","Matthews Arena","",2021,-71.0846418,42.3410767
"Portland St.","BSky",2.6,273,-0.5,330,7,129,-0.8,179,1.4,149,200,232,307,"BSky","Viking Pavilion","",2021,-122.6863165,45.5108772
"Lehigh","Pat",2.6,274,-1.8,225,4.7,253,-0.4,258,0.8,258,300,210,207,"Pat","Stabler Arena","",2021,-75.357392,40.585324
"Prairie View A&M","SWAC",2.6,275,-1.3,276,6.9,133,0,314,0.6,312,300,210,283,"SWAC","William Nicks Building","",2021,-95.9930554,30.0922526
"Texas St.","SB",2.6,276,-2,211,3.8,298,-0.5,237,0.5,314,700,113,164,"SB","Strahan Coliseum","",2021,-97.9326085,29.8886679
"Nebraska Omaha","Sum",2.6,277,-1.7,233,3.2,312,-1.3,87,0.3,331,1000,58,146,"Sum","Baxter Arena","",2021,-96.012948,41.236186
"Eastern Washington","BSky",2.6,278,-0.3,337,6,190,0,314,1.1,208,2500,26,231,"BSky","Reese Court","",2021,-96.8116872,32.7342704
"Stony Brook","AE",2.6,279,-2.1,207,2.1,331,-1.4,77,0.9,250,100,259,266,"AE","Island Federal Credit Union Arena","",2021,-73.125975,40.9174143
"Harvard","Ivy",2.6,280,-1.2,295,5.6,211,-0.1,307,1.4,132,0,308,331,"Ivy","Lavietes Pavilion","",2021,-71.1252674,42.368211
"Elon","CAA",2.6,281,-1.9,223,3.4,306,-0.5,244,0.8,272,700,113,222,"CAA","Schar Center","",2021,-79.5108076,36.1080342
"Fairfield","MAAC",2.6,282,-1.5,255,6.5,155,0.1,325,0.3,337,0,308,328,"MAAC","Alumni Hall","Webster Bank Arena (10,000)",2021,-94.1462854,36.1132368
"Oakland","Horz",2.6,283,-1.7,238,1.8,342,-1.7,41,0.8,266,900,68,310,"Horz","Athletics Center O'Rena","",2021,-83.2129533,42.6740472
"Monmouth","MAAC",2.6,284,-1.3,281,6.2,177,-0.5,237,0.3,333,0,308,263,"MAAC","OceanFirst Bank Center","",2021,-74.0078846,40.2791393
"Delaware St.","MEAC",2.5,285,-1.2,295,5.2,233,-0.7,195,0.8,258,0,308,338,"MEAC","Memorial Hall","",2021,-95.7059842,37.2272128
"Pepperdine","WCC",2.5,286,-1.9,217,4.6,265,0.8,348,1,231,300,210,305,"WCC","Firestone Fieldhouse","",2021,-118.7096946,34.0385192
"Brown","Ivy",2.5,287,-1.8,231,2.4,325,-0.6,213,1.6,97,100,259,317,"Ivy","Pizzitola Sports Center","",2021,-71.3980885,41.8316983
"Wagner","NEC",2.5,288,-1.1,299,4.7,259,0,314,1.6,79,200,232,333,"NEC","Spiro Sports Center","",2021,-74.095729,40.6149664
"Mississippi Valley St.","SWAC",2.5,289,-0.9,309,5.5,219,-0.4,258,1.2,174,100,259,319,"SWAC","Harrison Complex","",2021,-78.8693999,38.4248148
"Presbyterian","BSth",2.5,290,-1.4,267,4,289,-0.8,170,0.5,320,700,113,330,"BSth","Templeton P.E. Center","",2021,-81.8689853,34.4650766
"High Point","BSth",2.5,291,-0.6,328,4.7,260,-0.3,277,1.8,51,900,68,345,"BSth","Millis Athletic and Convocation Center","",2021,-79.9960005,35.9711065
"Howard","MEAC",2.5,292,-0.9,309,4.7,253,-1.4,79,0.7,279,100,259,319,"MEAC","Burr Arena","",2021,-77.022094,38.9263793
"Illinois Chicago","Horz",2.5,293,-1.6,250,3.9,296,-0.9,153,0.2,345,600,137,139,"Horz","Credit Union 1 Arena","",2021,-87.6562537,41.8748298
"Mount St. Mary's","NEC",2.5,294,-0.8,318,4.4,277,-0.5,237,1.6,97,500,166,303,"NEC","Knott Arena","",2021,-77.3462448,39.6796264
"South Alabama","SB",2.5,295,-1.3,283,7.2,116,1.1,353,0.6,299,200,232,97,"SB","Mitchell Center","",2021,-88.1796795,30.6922759
"American","Pat",2.5,296,-1.5,259,4,289,-0.1,308,1,229,400,185,316,"Pat","Bender Arena","",2021,-77.0900574,38.9378166
"Lipscomb","ASun",2.5,297,-1.6,242,4.5,272,-0.1,302,0.2,342,600,137,230,"ASun","Allen Arena","",2021,-86.798965,36.1036206
"Texas Southern","SWAC",2.5,298,-0.1,341,9.2,42,0.6,341,0.8,258,0,308,136,"SWAC","Health & PE Arena","",2021,-95.6491717,37.0360336
"Army","Pat",2.5,299,-0.7,322,4.9,244,-0.3,267,1.4,119,400,185,228,"Pat","Christl Arena","",2021,-73.9655587,41.3862939
"New Hampshire","AE",2.5,300,-1.6,253,3.3,310,-0.1,298,1.4,119,100,259,310,"AE","Lundholm Gymnasium","",2021,-70.9375613,43.1388127
"Arkansas Pine Bluff","SWAC",2.5,301,-0.6,325,5.8,196,-1.2,106,0.4,327,200,232,247,"SWAC","Clemmons Arena","",2021,-92.0239627,34.2460059
"Gardner Webb","BSth",2.5,302,-1.1,303,4.8,249,0.2,331,1.1,215,800,91,283,"BSth","Paul Porter Arena","",2021,-81.6695574,35.2465436
"Santa Clara","WCC",2.5,303,-1.5,259,2,335,-1.1,114,1.4,142,100,259,247,"WCC","Leavey Center","",2021,-121.9352222,37.3493059
"Liberty","ASun",2.5,304,-2,210,1.8,341,-0.8,176,0.2,341,900,68,125,"ASun","Vines Center","",2021,-79.1810641,37.348916
"Pacific","WCC",2.5,305,-1,305,3.5,305,-0.9,164,1.4,119,0,308,190,"WCC","Spanos Center","",2021,-121.3151352,37.9767312
"Bryant","NEC",2.4,306,-1,307,4.3,281,-0.3,267,1.1,202,400,185,323,"NEC","Chace Athletic Center","",2021,-71.5394146,41.9211855
"Saint Peter's","MAAC",2.4,307,-1.8,225,4.2,284,-0.2,281,0.1,348,100,259,295,"MAAC","Yanitelli Center","",2021,-74.073102,40.7277258
"Merrimack","NEC",2.4,308,-1,306,3,318,-0.8,185,1.6,74,200,232,350,"NEC","Hammel Court","",2021,-71.119685,42.6677273
"Cal St. Northridge","BW",2.4,309,-1.3,274,1.6,344,-0.2,284,1.9,44,900,68,347,"BW","Matadome","",2021,-118.5259044,34.2419495
"Quinnipiac","MAAC",2.4,310,-0.2,340,6.3,174,-0.3,277,1.2,174,400,185,294,"MAAC","People's United Center","",2021,-72.9111955,41.4138376
"Eastern Kentucky","OVC",2.4,311,-1.6,244,1.9,339,-0.5,243,0.8,266,1000,58,181,"OVC","McBrayer Arena","",2021,-84.3012724,37.7373512
"Maine","AE",2.4,312,-1.5,259,3.5,303,-0.5,244,0.6,299,100,259,201,"AE","Cross Insurance Center","",2021,-68.77929,44.788802
"Vermont","AE",2.4,313,-1.3,274,2.6,323,-1.2,96,0.5,317,400,185,293,"AE","Patrick Gymnasium","",2021,-73.1948048,44.4705972
"Penn","Ivy",2.4,314,-1.6,250,4.2,284,0.6,343,0.9,250,0,308,120,"Ivy","The Palestra","",2021,-75.1887032,39.9513911
"UC Davis","BW",2.4,315,-1.3,276,5.4,224,0.3,334,0.3,340,100,259,168,"BW","The Pavilion","",2021,-94.2033464,36.0499768
"St. Francis NY","NEC",2.4,316,-0.9,313,3.9,295,-0.5,237,1.1,208,100,259,350,"NEC","Pope P.E. Center","",2021,-73.9921652,40.6932301
"UC Santa Barbara","BW",2.4,317,-1.1,301,4.4,276,0.6,345,1.3,160,100,259,195,"BW","Thunderdome","",2021,-122.4839679,47.2075393
"Rider","MAAC",2.3,318,-0.8,317,4.6,262,-0.6,225,0.5,320,100,259,346,"MAAC","Alumni Gymnasium","",2021,-74.7353334,40.2791449
"UC Irvine","BW",2.3,319,-0.6,326,4.7,255,0.4,337,1.6,84,100,259,231,"BW","Bren Events Center","",2021,-117.8470627,33.6493863
"Robert Morris","Horz",2.3,320,-0.8,318,1.9,337,-0.2,284,1.5,108,1200,43,266,"Horz","UPMC Events Center","",2021,-80.214937,40.5202494
"Cal Poly","BW",2.3,321,-1.5,255,2.6,322,0,320,0.7,289,300,210,309,"BW","Mott Gymnasium","",2021,-120.6587313,35.2987292
"Central Connecticut","NEC",2.3,322,-0.2,339,3,315,-1.2,103,1.8,58,100,259,295,"NEC","Detrick Gymnasium","",2021,-72.7651572,41.6932347
"Stetson","ASun",2.3,323,0.2,348,7.6,96,0.9,350,1.4,142,100,259,266,"ASun","Edmunds Center","",2021,-81.3018584,29.0395387
"Lafayette","Pat",2.3,324,-0.8,320,4.5,269,-0.2,291,0.5,314,300,210,283,"Pat","Kirby Sports Center","",2021,-75.209704,40.7018683
"UMBC","AE",2.3,325,-1.3,281,2.3,326,-0.8,189,0.6,306,200,232,244,"AE","UMBC Event Center","",2021,-76.707431,39.2523419
"Sacred Heart","NEC",2.3,326,-1.2,290,2.3,327,0.1,329,1.5,108,300,210,333,"NEC","Pitt Center","",2021,-73.2448442,41.2198272
"Radford","BSth",2.3,327,-1.6,247,0.4,352,0,318,0.8,276,1700,34,295,"BSth","Dedmon Center","",2021,-80.5418072,37.1385478
"Iona","MAAC",2.3,328,-1.2,290,1.7,343,-1.3,91,0.6,299,0,308,322,"MAAC","Hynes Athletics Center","",2021,-73.7856802,40.9260678
"Niagara","MAAC",2.3,329,0.1,345,5.4,225,-0.8,189,0.5,320,600,137,329,"MAAC","Gallagher Center","",2021,-79.0380159,43.1374081
"Coppin St.","MEAC",2.3,330,-1.2,295,2.9,319,0.1,325,0.9,246,200,232,263,"MEAC","Physical Education Complex","",2021,-76.6571351,39.3153798
"Hofstra","CAA",2.3,331,-0.7,324,2.2,330,-1.8,38,0.7,295,100,259,227,"CAA","Mack Sports Complex","",2021,-73.5968484,40.7197192
"Colgate","Pat",2.2,332,-0.9,313,3.3,308,0.6,343,0.8,272,1100,48,344,"Pat","Cotterell Court","",2021,-75.5427254,42.8153293
"UC Riverside","BW",2.2,333,-0.4,334,3.5,303,0.1,321,0.8,276,1100,48,318,"BW","SRC Arena","",2021,-76.195174,43.006263
"UMass Lowell","AE",2.2,334,-1.3,287,0.7,349,-1,140,0.7,283,100,259,333,"AE","Costello Athletic Center","Tsongas Center (6,111)",2021,-71.3240756,42.6555387
"Jacksonville","ASun",2.2,335,-0.4,333,5.2,233,-0.2,291,0.1,347,0,308,349,"ASun","Historic Swisher Gymnasium","",2021,-81.6050911,30.3502321
"Dartmouth","Ivy",2.2,336,-0.4,336,3.5,301,-0.1,305,0.9,244,500,166,333,"Ivy","Leede Arena","",2021,-72.2828307,43.7029999
"Cal St. Fullerton","BW",2.1,337,-0.4,335,4.5,272,0.4,337,0.7,293,200,232,266,"BW","Titan Gym","",2021,-95.9882812,36.0522613
"Portland","WCC",2.1,338,-1,304,1.9,337,-0.6,220,0.3,331,200,232,242,"WCC","Chiles Center","",2021,-122.7284971,45.5750931
"Grambling St.","SWAC",2.1,339,0,343,3.3,309,-0.6,227,1,221,300,210,310,"SWAC","Assembly Center","",2021,-92.7237273,32.5204266
"LIU","NEC",2.1,340,-0.6,326,2.1,332,-0.5,244,1,235,0,308,338,"NEC","Steinberg Wellness Center","",2021,-73.9793049,40.6906465
"Columbia","Ivy",2.1,341,0.1,346,5.1,237,0.8,349,0.9,238,100,259,319,"Ivy","Levien Gymnasium","",2021,-73.9618257,40.810242
"Loyola Marymount","WCC",2.1,342,-0.5,332,3,317,-0.1,302,0.5,314,100,259,262,"WCC","Gersten Pavilion","",2021,-118.4156012,33.9676642
"Princeton","Ivy",2,343,0.3,349,3.1,313,-0.4,252,1.4,142,100,259,177,"Ivy","Jadwin Gymnasium","",2021,-74.6486685,40.3434557
"Longwood","BSth",2,344,0,342,0.5,351,-1.4,84,1.4,142,400,185,342,"BSth","Willett Hall","",2021,-78.3957004,37.2975417
"Marist","MAAC",2,345,0.5,351,4.5,266,-0.3,273,0.8,266,100,259,295,"MAAC","McCann Center","",2021,-73.9353181,41.7173998
"Charleston Southern","BSth",2,346,0,343,4.7,255,-0.3,271,0,351,0,308,356,"BSth","Buccaneer Field House","",2021,-80.0678554,32.9782176
"Hartford","AE",2,347,-0.9,313,2.1,334,-0.1,298,-0.1,352,100,259,282,"AE","Chase Arena","",2021,-122.387715,37.7680466
"Yale","Ivy",1.9,348,0.2,347,4,288,0.6,346,0.7,284,100,259,324,"Ivy","Lee Amphitheater","",2021,-94.3116683,38.9264564
"Cornell","Ivy",1.9,349,1.4,353,5.1,236,0.5,340,1.4,132,900,68,253,"Ivy","Newman Arena","",2021,-76.4764139,42.4458085
"Boston University","Pat",1.8,350,-0.2,338,0.6,350,-0.6,217,0.5,320,0,308,343,"Pat","Case Gym","",2021,-71.1203588,42.3539377
"Canisius","MAAC",1.8,351,-0.8,321,1.1,347,0.7,347,-0.2,353,600,137,332,"MAAC","Koessler Athletic Center","",2021,-78.8575314,42.9209439
"Fairleigh Dickinson","NEC",1.7,352,0.4,350,2.1,333,1.1,351,1.4,119,0,308,338,"NEC","Rothman Center","",2021,-82.643687,27.7634227
"Navy","Pat",1.7,353,0.5,351,1.1,347,-0.9,157,0,350,0,308,204,"Pat","Alumni Hall","",2021,-94.1462854,36.1132368
